harmonico,amplitude,angulo
3.458333,100,0
3.466667,100,0
3.475,100,0
3.483333,100,0
3.491667,100,0
3.5,100,0
3.508333,100,0
3.516667,100,0
3.525,100,0
3.533333,100,0
3.541667,100,0
3.55,100,0
3.558333,100,0
3.566667,100,0
3.575,100,0
3.583333,100,0
3.591667,100,0
3.6,100,0
3.608333,100,0
3.616667,100,0
3.625,100,0
3.633333,100,0
3.641667,100,0
3.65,100,0
3.658333,100,0
3.666667,100,0
3.675,100,0
3.683333,100,0
3.691667,100,0
3.7,100,0
3.708333,100,0
3.716667,100,0
3.725,100,0
3.733333,100,0
3.741667,100,0
3.75,100,0
3.758333,100,0
3.766667,100,0
3.775,100,0
3.783333,100,0
3.791667,100,0
3.8,100,0
3.808333,100,0
3.816667,100,0
3.825,100,0
3.833333,100,0
3.841667,100,0
3.85,100,0
3.858333,100,0
3.866667,100,0
3.875,100,0
3.883333,100,0
3.891667,100,0
3.9,100,0
3.908333,100,0
3.916667,100,0
3.925,100,0
3.933333,100,0
3.941667,100,0
3.95,100,0
3.958333,100,0
3.966667,100,0
3.975,100,0
3.983333,100,0
3.991667,100,0
4.0,100,0
4.008333,100,0
4.016667,100,0
4.025,100,0
4.033333,100,0
4.041667,100,0
4.05,100,0
4.058333,100,0
4.066667,100,0
4.075,100,0
4.083333,100,0
4.091667,100,0
4.1,100,0
4.108333,100,0
4.116667,100,0
4.125,100,0
4.133333,100,0
4.141667,100,0
4.15,100,0
4.158333,100,0
4.166667,100,0
4.175,100,0
4.183333,100,0
4.191667,100,0
4.2,100,0
4.208333,100,0
4.216667,100,0
4.225,100,0
4.233333,100,0
4.241667,100,0
4.25,100,0
4.258333,100,0
4.266667,100,0
4.275,100,0
4.283333,100,0
4.291667,100,0
4.3,100,0
4.308333,100,0
4.316667,100,0
4.325,100,0
4.333333,100,0
4.341667,100,0
4.35,100,0
4.358333,100,0
4.366667,100,0
4.375,100,0
4.383333,100,0
4.391667,100,0
4.4,100,0
4.408333,100,0
4.416667,100,0
4.425,100,0
4.433333,100,0
4.441667,100,0
4.45,100,0
4.458333,100,0
4.466667,100,0
4.475,100,0
4.483333,100,0
4.491667,100,0
4.5,100,0
4.508333,100,0
4.516667,100,0
4.525,100,0
4.533333,100,0
4.541667,100,0
4.55,100,0
4.558333,100,0
4.566667,100,0
4.575,100,0
4.583333,100,0
4.591667,100,0
4.6,100,0
4.608333,100,0
4.616667,100,0
4.625,100,0
4.633333,100,0
4.641667,100,0
4.65,100,0
4.658333,100,0
4.666667,100,0
4.675,100,0
4.683333,100,0
4.691667,100,0
4.7,100,0
4.708333,100,0
4.716667,100,0
4.725,100,0
4.733333,100,0
4.741667,100,0
4.75,100,0
4.758333,100,0
4.766667,100,0
4.775,100,0
4.783333,100,0
4.791667,100,0
4.8,100,0
4.808333,100,0
4.816667,100,0
4.825,100,0
4.833333,100,0
4.841667,100,0
4.85,100,0
4.858333,100,0
4.866667,100,0
4.875,100,0
4.883333,100,0
4.891667,100,0
4.9,100,0
4.908333,100,0
4.916667,100,0
4.925,100,0
4.933333,100,0
4.941667,100,0
4.95,100,0
4.958333,100,0
4.966667,100,0
4.975,100,0
4.983333,100,0
4.991667,100,0
5.0,100,0
5.008333,100,0
5.016667,100,0
5.025,100,0
5.033333,100,0
5.041667,100,0
5.05,100,0
5.058333,100,0
5.066667,100,0
5.075,100,0
5.083333,100,0
5.091667,100,0
5.1,100,0
5.108333,100,0
5.116667,100,0
5.125,100,0
5.133333,100,0
5.141667,100,0
5.15,100,0
5.158333,100,0
5.166667,100,0
5.175,100,0
5.183333,100,0
5.191667,100,0
5.2,100,0
5.208333,100,0
5.216667,100,0
5.225,100,0
5.233333,100,0
5.241667,100,0
5.25,100,0
5.258333,100,0
5.266667,100,0
5.275,100,0
5.283333,100,0
5.291667,100,0
5.3,100,0
5.308333,100,0
5.316667,100,0
5.325,100,0
5.333333,100,0
5.341667,100,0
5.35,100,0
5.358333,100,0
5.366667,100,0
5.375,100,0
5.383333,100,0
5.391667,100,0
5.4,100,0
5.408333,100,0
5.416667,100,0
5.425,100,0
5.433333,100,0
5.441667,100,0
5.45,100,0
5.458333,100,0
5.466667,100,0
5.475,100,0
5.483333,100,0
5.491667,100,0
5.5,100,0
5.508333,100,0
5.516667,100,0
5.525,100,0
5.533333,100,0
5.541667,100,0
5.55,100,0
5.558333,100,0
5.566667,100,0
5.575,100,0
5.583333,100,0
5.591667,100,0
5.6,100,0
5.608333,100,0
5.616667,100,0
5.625,100,0
5.633333,100,0
5.641667,100,0
5.65,100,0
5.658333,100,0
5.666667,100,0
5.675,100,0
5.683333,100,0
5.691667,100,0
5.7,100,0
5.708333,100,0
5.716667,100,0
5.725,100,0
5.733333,100,0
5.741667,100,0
5.75,100,0
5.758333,100,0
5.766667,100,0
5.775,100,0
5.783333,100,0
5.791667,100,0
5.8,100,0
5.808333,100,0
5.816667,100,0
5.825,100,0
5.833333,100,0
5.841667,100,0
5.85,100,0
5.858333,100,0
5.866667,100,0
5.875,100,0
5.883333,100,0
5.891667,100,0
5.9,100,0
5.908333,100,0
5.916667,100,0
5.925,100,0
5.933333,100,0
5.941667,100,0
5.95,100,0
5.958333,100,0
5.966667,100,0
5.975,100,0
5.983333,100,0
5.991667,100,0
6.0,100,0
6.008333,100,0
6.016667,100,0
6.025,100,0
6.033333,100,0
6.041667,100,0
6.05,100,0
6.058333,100,0
6.066667,100,0
6.075,100,0
6.083333,100,0
6.091667,100,0
6.1,100,0
6.108333,100,0
6.116667,100,0
6.125,100,0
6.133333,100,0
6.141667,100,0
6.15,100,0
6.158333,100,0
6.166667,100,0
6.175,100,0
6.183333,100,0
6.191667,100,0
6.2,100,0
6.208333,100,0
6.216667,100,0
6.225,100,0
6.233333,100,0
6.241667,100,0
6.25,100,0
6.258333,100,0
6.266667,100,0
6.275,100,0
6.283333,100,0
6.291667,100,0
6.3,100,0
6.308333,100,0
6.316667,100,0
6.325,100,0
6.333333,100,0
6.341667,100,0
6.35,100,0
6.358333,100,0
6.366667,100,0
6.375,100,0
6.383333,100,0
6.391667,100,0
6.4,100,0
6.408333,100,0
6.416667,100,0
6.425,100,0
6.433333,100,0
6.441667,100,0
6.45,100,0
6.458333,100,0
6.466667,100,0
6.475,100,0
6.483333,100,0
6.491667,100,0
6.5,100,0
6.508333,100,0
6.516667,100,0
6.525,100,0
6.533333,100,0
6.541667,100,0
6.55,100,0
6.558333,100,0
6.566667,100,0
6.575,100,0
6.583333,100,0
6.591667,100,0
6.6,100,0
6.608333,100,0
6.616667,100,0
6.625,100,0
6.633333,100,0
6.641667,100,0
6.65,100,0
6.658333,100,0
6.666667,100,0
6.675,100,0
6.683333,100,0
6.691667,100,0
6.7,100,0
6.708333,100,0
6.716667,100,0
6.725,100,0
6.733333,100,0
6.741667,100,0
6.75,100,0
6.758333,100,0
6.766667,100,0
6.775,100,0
6.783333,100,0
6.791667,100,0
6.8,100,0
6.808333,100,0
6.816667,100,0
6.825,100,0
6.833333,100,0
6.841667,100,0
6.85,100,0
6.858333,100,0
6.866667,100,0
6.875,100,0
6.883333,100,0
6.891667,100,0
6.9,100,0
6.908333,100,0
6.916667,100,0
6.925,100,0
6.933333,100,0
6.941667,100,0
6.95,100,0
6.958333,100,0
6.966667,100,0
6.975,100,0
6.983333,100,0
6.991667,100,0
7.0,100,0
7.008333,100,0
7.016667,100,0
7.025,100,0
7.033333,100,0
7.041667,100,0
7.05,100,0
7.058333,100,0
7.066667,100,0
7.075,100,0
7.083333,100,0
7.091667,100,0
7.1,100,0
7.108333,100,0
7.116667,100,0
7.125,100,0
7.133333,100,0
7.141667,100,0
7.15,100,0
7.158333,100,0
7.166667,100,0
7.175,100,0
7.183333,100,0
7.191667,100,0
7.2,100,0
7.208333,100,0
7.216667,100,0
7.225,100,0
7.233333,100,0
7.241667,100,0
7.25,100,0
7.258333,100,0
7.266667,100,0
7.275,100,0
7.283333,100,0
7.291667,100,0
7.3,100,0
7.308333,100,0
7.316667,100,0
7.325,100,0
7.333333,100,0
7.341667,100,0
7.35,100,0
7.358333,100,0
7.366667,100,0
7.375,100,0
7.383333,100,0
7.391667,100,0
7.4,100,0
7.408333,100,0
7.416667,100,0
7.425,100,0
7.433333,100,0
7.441667,100,0
7.45,100,0
7.458333,100,0
7.466667,100,0
7.475,100,0
7.483333,100,0
7.491667,100,0
7.5,100,0
7.508333,100,0
7.516667,100,0
7.525,100,0
7.533333,100,0
7.541667,100,0
7.55,100,0
7.558333,100,0
7.566667,100,0
7.575,100,0
7.583333,100,0
7.591667,100,0
7.6,100,0
7.608333,100,0
7.616667,100,0
7.625,100,0
7.633333,100,0
7.641667,100,0
7.65,100,0
7.658333,100,0
7.666667,100,0
7.675,100,0
7.683333,100,0
7.691667,100,0
7.7,100,0
7.708333,100,0
7.716667,100,0
7.725,100,0
7.733333,100,0
7.741667,100,0
7.75,100,0
7.758333,100,0
7.766667,100,0
7.775,100,0
7.783333,100,0
7.791667,100,0
7.8,100,0
7.808333,100,0
7.816667,100,0
7.825,100,0
7.833333,100,0
7.841667,100,0
7.85,100,0
7.858333,100,0
7.866667,100,0
7.875,100,0
7.883333,100,0
7.891667,100,0
7.9,100,0
7.908333,100,0
7.916667,100,0
7.925,100,0
7.933333,100,0
7.941667,100,0
7.95,100,0
7.958333,100,0
7.966667,100,0
7.975,100,0
7.983333,100,0
7.991667,100,0
8.0,100,0
8.008333,100,0
8.016667,100,0
8.025,100,0
8.033333,100,0
8.041667,100,0
8.05,100,0
8.058333,100,0
8.066667,100,0
8.075,100,0
8.083333,100,0
8.091667,100,0
8.1,100,0
8.108333,100,0
8.116667,100,0
8.125,100,0
8.133333,100,0
8.141667,100,0
8.15,100,0
8.158333,100,0
8.166667,100,0
8.175,100,0
8.183333,100,0
8.191667,100,0
8.2,100,0
8.208333,100,0
8.216667,100,0
8.225,100,0
8.233333,100,0
8.241667,100,0
8.25,100,0
8.258333,100,0
8.266667,100,0
8.275,100,0
8.283333,100,0
8.291667,100,0
8.3,100,0
8.308333,100,0
8.316667,100,0
8.325,100,0
8.333333,100,0
8.341667,100,0
8.35,100,0
8.358333,100,0
8.366667,100,0
8.375,100,0
8.383333,100,0
8.391667,100,0
8.4,100,0
8.408333,100,0
8.416667,100,0
8.425,100,0
8.433333,100,0
8.441667,100,0
8.45,100,0
8.458333,100,0
8.466667,100,0
8.475,100,0
8.483333,100,0
8.491667,100,0
8.5,100,0
8.508333,100,0
8.516667,100,0
8.525,100,0
8.533333,100,0
8.541667,100,0
8.55,100,0
8.558333,100,0
8.566667,100,0
8.575,100,0
8.583333,100,0
8.591667,100,0
8.6,100,0
8.608333,100,0
8.616667,100,0
8.625,100,0
8.633333,100,0
8.641667,100,0
8.65,100,0
8.658333,100,0
8.666667,100,0
8.675,100,0
8.683333,100,0
8.691667,100,0
8.7,100,0
8.708333,100,0
8.716667,100,0
8.725,100,0
8.733333,100,0
8.741667,100,0
8.75,100,0
8.758333,100,0
8.766667,100,0
8.775,100,0
8.783333,100,0
8.791667,100,0
8.8,100,0
8.808333,100,0
8.816667,100,0
8.825,100,0
8.833333,100,0
8.841667,100,0
8.85,100,0
8.858333,100,0
8.866667,100,0
8.875,100,0
8.883333,100,0
8.891667,100,0
8.9,100,0
8.908333,100,0
8.916667,100,0
8.925,100,0
8.933333,100,0
8.941667,100,0
8.95,100,0
8.958333,100,0
8.966667,100,0
8.975,100,0
8.983333,100,0
8.991667,100,0
9.0,100,0
9.008333,100,0
9.016667,100,0
9.025,100,0
9.033333,100,0
9.041667,100,0
9.05,100,0
9.058333,100,0
9.066667,100,0
9.075,100,0
9.083333,100,0
9.091667,100,0
9.1,100,0
9.108333,100,0
9.116667,100,0
9.125,100,0
9.133333,100,0
9.141667,100,0
9.15,100,0
9.158333,100,0
9.166667,100,0
9.175,100,0
9.183333,100,0
9.191667,100,0
9.2,100,0
9.208333,100,0
9.216667,100,0
9.225,100,0
9.233333,100,0
9.241667,100,0
9.25,100,0
9.258333,100,0
9.266667,100,0
9.275,100,0
9.283333,100,0
9.291667,100,0
9.3,100,0
9.308333,100,0
9.316667,100,0
9.325,100,0
9.333333,100,0
9.341667,100,0
9.35,100,0
9.358333,100,0
9.366667,100,0
9.375,100,0
9.383333,100,0
9.391667,100,0
9.4,100,0
9.408333,100,0
9.416667,100,0
9.425,100,0
9.433333,100,0
9.441667,100,0
9.45,100,0
9.458333,100,0
9.466667,100,0
9.475,100,0
9.483333,100,0
9.491667,100,0
9.5,100,0
9.508333,100,0
9.516667,100,0
9.525,100,0
9.533333,100,0
9.541667,100,0
9.55,100,0
9.558333,100,0
9.566667,100,0
9.575,100,0
9.583333,100,0
9.591667,100,0
9.6,100,0
9.608333,100,0
9.616667,100,0
9.625,100,0
9.633333,100,0
9.641667,100,0
9.65,100,0
9.658333,100,0
9.666667,100,0
9.675,100,0
9.683333,100,0
9.691667,100,0
9.7,100,0
9.708333,100,0
9.716667,100,0
9.725,100,0
9.733333,100,0
9.741667,100,0
9.75,100,0
9.758333,100,0
9.766667,100,0
9.775,100,0
9.783333,100,0
9.791667,100,0
9.8,100,0
9.808333,100,0
9.816667,100,0
9.825,100,0
9.833333,100,0
9.841667,100,0
9.85,100,0
9.858333,100,0
9.866667,100,0
9.875,100,0
9.883333,100,0
9.891667,100,0
9.9,100,0
9.908333,100,0
9.916667,100,0
9.925,100,0
9.933333,100,0
9.941667,100,0
9.95,100,0
9.958333,100,0
9.966667,100,0
9.975,100,0
9.983333,100,0
9.991667,100,0
10.0,100,0
